,Sentiment
2024-01-01,-0.12466036649375943
2024-01-02,0.09233178994835056
2024-01-03,-0.13753446208313044
2024-01-04,-0.10617548266606854
2024-01-05,0.18533873312815963
2024-01-06,-0.09787739010862727
2024-01-07,0.06465294014845868
2024-01-08,0.19145251496021215
2024-01-09,-0.050281293144082945
2024-01-10,-0.19299360365517512
2024-01-11,-0.1023410838310503
2024-01-12,0.1323508765366822
2024-01-13,0.1458435343820147
2024-01-14,0.10740774580951651
2024-01-15,-0.1547560723693708
2024-01-16,0.11820414867856127
2024-01-17,0.16747111879740173
2024-01-18,0.04024381701849444
2024-01-19,0.17635014253522596
2024-01-20,0.13073555348475097
2024-01-21,0.06678860679636289
2024-01-22,0.03087409468469926
2024-01-23,-0.06057053310321181
2024-01-24,-0.13628502190287795
2024-01-25,0.041981569076216335
2024-01-26,-0.07275537855275221
2024-01-27,0.14657546701105817
2024-01-28,0.19733477494345142
2024-01-29,0.10097110504622903
2024-01-30,-0.1638073218851797
2024-01-31,-0.08452576178774476
2024-02-01,-0.15635614729370012
2024-02-02,0.06020465911668632
2024-02-03,0.1060763458223139
2024-02-04,0.17026993235228471
2024-02-05,-0.024731061435204926
2024-02-06,0.16055025983537774
2024-02-07,0.151156463616531
2024-02-08,-0.07312171329384057
2024-02-09,0.14756025021622843
2024-02-10,-0.049731099247309396
2024-02-11,-0.0812522901758877
2024-02-12,0.05962986351775723
2024-02-13,-0.06864750884596757
2024-02-14,0.05208349933165768
2024-02-15,0.0439327221994778
2024-02-16,0.02537557093938353
2024-02-17,-0.047832118306880916
2024-02-18,0.019399888660590697
2024-02-19,0.03859418999416864
2024-02-20,0.018274755398189374
2024-02-21,-0.022232218899519374
2024-02-22,-0.19413317718149448
2024-02-23,0.034824683080460384
2024-02-24,-0.13262224594291216
2024-02-25,0.05703038757887585
2024-02-26,0.10373773116914642
2024-02-27,0.00017812365229658012
2024-02-28,0.016945465991895337
2024-02-29,0.18059142386639648
2024-03-01,0.1388669445490297
2024-03-02,0.16569460638058797
2024-03-03,0.12550651532783458
2024-03-04,-0.15643266326130745
2024-03-05,-0.14040325761192213
2024-03-06,0.010649518907583838
2024-03-07,-0.10157213648080071
2024-03-08,-0.009321809983536322
2024-03-09,-0.04225387047265991
2024-03-10,0.01976569537218134
2024-03-11,0.0987502864543291
2024-03-12,0.08619636283970977
2024-03-13,0.008493652994133738
2024-03-14,0.12895736752682324
2024-03-15,-0.027655163384786657
2024-03-16,0.15868571593604897
2024-03-17,-0.17148789197793446
2024-03-18,0.18186401201332297
2024-03-19,0.0618772325725393
2024-03-20,-0.04797019642511788
2024-03-21,-0.12113834937084907
2024-03-22,-0.008326708222560042
2024-03-23,-0.12217667072587962
2024-03-24,-0.13346735690274314
2024-03-25,0.04694070296518968
2024-03-26,0.009233889832713865
2024-03-27,0.0680384138443767
2024-03-28,0.1718423509687957
2024-03-29,0.012904085335616072
2024-03-30,0.03237282130511909
2024-03-31,-0.16414946433802316
2024-04-01,0.08705431436345179
2024-04-02,-0.040037917278337526
2024-04-03,0.19069009546503157
2024-04-04,0.1292696062382641
2024-04-05,0.008992416206447335
2024-04-06,-0.15071093833113358
2024-04-07,0.14376631731223566
2024-04-08,0.11991243816960867
2024-04-09,-0.1261659481851868
2024-04-10,-0.08188868431187597
2024-04-11,0.11736290325913495
2024-04-12,-0.12590862138103615
2024-04-13,0.1671009956685509
2024-04-14,-0.03018902992145525
2024-04-15,-0.16518441496493655
2024-04-16,0.1262994574017124
2024-04-17,-0.05059612678464495
2024-04-18,0.010599677661512402
2024-04-19,-0.15507826223551235
2024-04-20,-0.19896639406200706
2024-04-21,0.05519408231731904
2024-04-22,0.006070068133492645
2024-04-23,0.03741542764925887
2024-04-24,0.11749754015220654
2024-04-25,0.05864236536914402
2024-04-26,-0.13009062286904916
2024-04-27,-0.05569099235576008
2024-04-28,0.16235644191510418
2024-04-29,0.10797788010067161
2024-04-30,0.022654823174686894
2024-05-01,-0.09774200087629109
2024-05-02,-0.07917579926608198
2024-05-03,0.09278322703425379
2024-05-04,0.14046970434110834
